City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Nouadhibou,MR,2021-02-07 21:25:50,20.931,-17.0347,64.4,72,0,18.41,clear sky
173,Sakit,IN,2021-02-07 21:25:51,27.45,78.8167,54.14,56,0,5.35,clear sky
174,Chicama,PE,2021-02-07 21:25:51,-7.8447,-79.1469,73.4,83,0,9.22,clear sky
175,Stepnogorsk,KZ,2021-02-07 21:25:51,52.3544,71.8869,12.7,95,96,15.12,overcast clouds
176,Sambava,MG,2021-02-07 21:25:52,-14.2667,50.1667,78.04,83,100,2.33,overcast clouds
177,Colinas,BR,2021-02-07 21:24:19,-6.0258,-44.2492,78.67,89,29,0.78,moderate rain
178,Airai,TL,2021-02-07 21:25:52,-8.9266,125.4092,60.73,100,100,2.66,overcast clouds
179,Nemuro,JP,2021-02-07 21:25:52,43.3236,145.575,13.42,86,0,10.22,clear sky
180,Kawhia,NZ,2021-02-07 21:25:53,-38.0651,174.8183,66.09,68,21,3.06,few clouds
181,Ponta Do Sol,PT,2021-02-07 21:25:53,32.6667,-17.1,59.0,69,40,5.01,scattered clouds
182,Paciran,ID,2021-02-07 21:25:53,-6.8767,112.3761,78.26,86,99,11.25,overcast clouds
183,Upernavik,GL,2021-02-07 21:25:53,72.7868,-56.1549,18.34,79,2,2.84,clear sky
184,Ciudad Bolivar,VE,2021-02-07 21:25:54,8.1222,-63.5497,89.71,45,100,12.95,overcast clouds
185,Belfast,GB,2021-02-07 21:23:44,54.5833,-5.9333,35.6,64,90,17.27,light rain
186,Karratha,AU,2021-02-07 21:25:54,-20.7377,116.8463,77.63,72,3,7.78,clear sky
187,Ostrovnoy,RU,2021-02-07 21:25:55,68.0531,39.5131,3.94,92,79,13.73,broken clouds
188,Inta,RU,2021-02-07 21:25:55,66.0317,60.1659,-12.89,89,100,10.63,overcast clouds
189,Nome,US,2021-02-07 21:25:55,64.5011,-165.4064,-2.99,84,1,4.07,clear sky
190,Lavrentiya,RU,2021-02-07 21:25:55,65.5833,-171.0,-9.89,85,0,9.37,clear sky
191,Jeremie,HT,2021-02-07 21:25:55,18.65,-74.1167,81.66,58,1,5.3,clear sky
192,Srandakan,ID,2021-02-07 21:25:56,-7.9386,110.2506,76.26,87,93,4.65,light rain
193,Dhidhdhoo,MV,2021-02-07 21:25:56,6.8833,73.1,81.0,71,59,6.78,broken clouds
194,Kavieng,PG,2021-02-07 21:23:08,-2.5744,150.7967,83.26,76,75,8.34,broken clouds
195,Alihe,CN,2021-02-07 21:25:00,50.5667,123.7167,-14.33,85,0,3.42,clear sky
196,Port Hedland,AU,2021-02-07 21:25:57,-20.3167,118.5667,75.2,83,40,5.75,scattered clouds
197,Puerto Boyaca,CO,2021-02-07 21:25:14,5.9758,-74.5885,90.16,56,68,3.22,broken clouds
198,Diffa,NE,2021-02-07 21:25:57,13.3154,12.6113,70.2,20,0,7.2,clear sky
199,Sheboygan,US,2021-02-07 21:25:58,43.7333,-87.9334,1.0,50,1,14.97,clear sky
200,Pyaozerskiy,RU,2021-02-07 21:25:58,65.8333,31.1667,8.44,94,58,6.89,broken clouds
201,Salalah,OM,2021-02-07 21:25:58,17.0151,54.0924,73.4,68,75,4.61,broken clouds
202,Maryville,US,2021-02-07 21:25:58,35.7565,-83.9705,43.0,65,20,10.36,few clouds
203,Gweta,BW,2021-02-07 21:25:59,-20.1833,25.2333,75.43,72,100,17.09,moderate rain
204,Takoradi,GH,2021-02-07 21:25:59,4.8845,-1.7554,80.44,86,99,11.36,overcast clouds
205,Teguise,ES,2021-02-07 21:25:59,29.0605,-13.564,59.0,77,20,2.3,few clouds
206,Lebu,CL,2021-02-07 21:25:59,-37.6167,-73.65,62.56,78,9,6.4,clear sky
207,Buala,SB,2021-02-07 21:26:00,-8.145,159.5921,81.95,79,57,6.38,light rain
208,Los Llanos De Aridane,ES,2021-02-07 21:24:00,28.6585,-17.9182,60.8,77,20,5.75,few clouds
209,San Policarpo,PH,2021-02-07 21:26:00,12.1791,125.5072,79.97,84,100,20.29,heavy intensity rain
210,Sterling,US,2021-02-07 21:24:41,39.0062,-77.4286,39.99,81,75,8.05,broken clouds
211,San Quintin,MX,2021-02-07 21:26:01,30.4833,-115.95,65.01,56,0,10.47,clear sky
212,Avarua,CK,2021-02-07 21:26:01,-21.2078,-159.775,84.2,79,40,13.8,scattered clouds
213,Coari,BR,2021-02-07 21:26:02,-4.085,-63.1414,84.15,81,98,2.44,overcast clouds
214,Okhotsk,RU,2021-02-07 21:26:02,59.3833,143.3,12.94,88,100,22.26,overcast clouds
215,Batemans Bay,AU,2021-02-07 21:26:02,-35.7167,150.1833,64.0,72,42,2.42,scattered clouds
216,Sao Filipe,CV,2021-02-07 21:25:09,14.8961,-24.4956,69.87,74,100,13.65,overcast clouds
217,Kourou,GF,2021-02-07 21:26:03,5.1552,-52.6478,80.6,83,90,13.8,overcast clouds
218,Aklavik,CA,2021-02-07 21:26:03,68.2191,-135.0107,-16.6,69,90,13.8,snow
219,Katsuura,JP,2021-02-07 21:26:03,35.1333,140.3,42.8,49,20,9.22,few clouds
